Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_14_113,VGND,li1,57.7300,48.9600,0.000000
FILLER_14_109,VGND,li1,56.3500,48.9600,0.000000
FILLER_14_97,VGND,li1,52.9000,48.9600,0.000000
FILLER_14_85,VGND,li1,47.3800,48.9600,0.000000
FILLER_14_81,VGND,li1,43.4700,48.9600,0.000000
FILLER_14_69,VGND,li1,40.0200,48.9600,0.000000
FILLER_14_57,VGND,li1,34.5000,48.9600,0.000000
FILLER_14_53,VGND,li1,30.5900,48.9600,0.000000
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000000
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000000
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000000
FILLER_14_15,VGND,li1,15.1800,48.9600,0.000000
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000000
FILLER_13_113,VGND,li1,57.7300,48.9600,0.000000
FILLER_13_111,VGND,li1,56.8100,48.9600,0.000000
FILLER_13_105,VGND,li1,55.2000,48.9600,0.000000
FILLER_13_93,VGND,li1,51.0600,48.9600,0.000000
FILLER_13_81,VGND,li1,45.5400,48.9600,0.000000
FILLER_13_69,VGND,li1,40.0200,48.9600,0.000000
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000000
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000000
FILLER_13_51,VGND,li1,29.9000,48.9600,0.000000
FILLER_13_39,VGND,li1,26.2200,48.9600,0.000000
FILLER_13_27,VGND,li1,20.7000,48.9600,0.000000
FILLER_13_15,VGND,li1,15.1800,48.9600,0.000000
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000000
FILLER_12_113,VGND,li1,57.7300,43.5200,0.000000
FILLER_12_109,VGND,li1,56.5800,43.5200,0.000000
FILLER_12_97,VGND,li1,52.9000,43.5200,0.000000
FILLER_12_85,VGND,li1,47.3800,43.5200,0.000000
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000000
FILLER_12_77,VGND,li1,42.3200,43.5200,0.000000
FILLER_12_65,VGND,li1,38.1800,43.5200,0.000000
FILLER_12_53,VGND,li1,32.6600,43.5200,0.000000
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000000
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000000
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000000
FILLER_12_15,VGND,li1,15.1800,43.5200,0.000000
FILLER_12_3,VGND,li1,9.6600,43.5200,0.000000
FILLER_11_113,VGND,li1,57.7300,43.5200,0.000000
FILLER_11_111,VGND,li1,56.8100,43.5200,0.000000
FILLER_11_105,VGND,li1,55.2000,43.5200,0.000000
FILLER_11_93,VGND,li1,51.0600,43.5200,0.000000
FILLER_11_81,VGND,li1,45.5400,43.5200,0.000000
FILLER_11_69,VGND,li1,40.0200,43.5200,0.000000
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000000
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000000
FILLER_11_51,VGND,li1,29.9000,43.5200,0.000000
FILLER_11_39,VGND,li1,26.2200,43.5200,0.000000
FILLER_11_27,VGND,li1,20.7000,43.5200,0.000000
FILLER_11_15,VGND,li1,15.1800,43.5200,0.000000
FILLER_11_3,VGND,li1,9.6600,43.5200,0.000000
FILLER_10_113,VGND,li1,57.7300,38.0800,0.000000
