Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VPWR,li1,40.0200,35.3600,1.799969
FILLER_9_57,VPWR,li1,34.5000,35.3600,1.799969
FILLER_9_54,VPWR,li1,30.8200,35.3600,1.799969
FILLER_9_42,VPWR,li1,27.6000,35.3600,1.799969
FILLER_9_35,VPWR,li1,22.3100,35.3600,1.799972
FILLER_9_29,VPWR,li1,19.3200,35.3600,1.799969
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799969
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799968
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799968
FILLER_8_80,VPWR,li1,42.5500,35.3600,1.799969
FILLER_8_74,VPWR,li1,40.9400,35.3600,1.799969
FILLER_8_62,VPWR,li1,36.8000,35.3600,1.799969
FILLER_8_50,VPWR,li1,31.2800,35.3600,1.799969
FILLER_8_38,VPWR,li1,25.7600,35.3600,1.799969
FILLER_8_29,VPWR,li1,19.3200,35.3600,1.799969
FILLER_8_15,VPWR,li1,13.1100,35.3600,1.799968
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.799968
FILLER_7_77,VPWR,li1,41.8600,29.9200,1.799825
FILLER_7_65,VPWR,li1,38.1800,29.9200,1.799825
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799849
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799849
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.799867
FILLER_7_30,VPWR,li1,19.5500,29.9200,1.799880
FILLER_7_19,VPWR,li1,14.9500,29.9200,1.799863
FILLER_7_7,VPWR,li1,9.6600,29.9200,1.799852
FILLER_6_60,VPWR,li1,33.3500,29.9200,1.799843
FILLER_6_54,VPWR,li1,31.7400,29.9200,1.799843
FILLER_6_33,VPWR,li1,20.9300,29.9200,1.799880
FILLER_6_29,VPWR,li1,19.7800,29.9200,1.799880
FILLER_6_25,VPWR,li1,17.7100,29.9200,1.799872
FILLER_6_3,VPWR,li1,7.3600,29.9200,1.799848
FILLER_5_54,VPWR,li1,30.8200,24.4800,1.799939
FILLER_5_46,VPWR,li1,28.5200,24.4800,1.799948
FILLER_5_34,VPWR,li1,23.9200,24.4800,1.799956
FILLER_5_30,VPWR,li1,19.5500,24.4800,1.799961
FILLER_5_6,VPWR,li1,9.2000,24.4800,1.799957
FILLER_4_77,VPWR,li1,41.1700,24.4800,1.799921
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.799924
FILLER_4_61,VPWR,li1,33.8100,24.4800,1.799932
FILLER_4_53,VPWR,li1,31.7400,24.4800,1.799939
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.799948
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.799964
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799961
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.799957
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.799957
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.800000
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.800000
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.800000
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.800000
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.800000
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.800000
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.800000
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.800000
FILLER_2_77,VPWR,li1,41.8600,19.0400,1.800000
FILLER_2_65,VPWR,li1,38.1800,19.0400,1.800000
FILLER_2_53,VPWR,li1,32.6600,19.0400,1.800000
