Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_61,VGND,li1,33.8100,38.0800,0.000000
FILLER_9_57,VGND,li1,32.6600,38.0800,0.000000
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000000
FILLER_9_41,VGND,li1,27.1400,38.0800,0.000000
FILLER_9_29,VGND,li1,21.6200,38.0800,0.000000
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000000
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000000
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000000
FILLER_8_61,VGND,li1,33.8100,32.6400,0.000000
FILLER_8_53,VGND,li1,31.7400,32.6400,0.000000
FILLER_8_41,VGND,li1,27.1400,32.6400,0.000000
FILLER_8_29,VGND,li1,21.6200,32.6400,0.000000
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000000
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000000
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000000
FILLER_7_61,VGND,li1,33.8100,32.6400,0.000000
FILLER_7_57,VGND,li1,32.6600,32.6400,0.000000
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000000
FILLER_7_51,VGND,li1,29.9000,32.6400,0.000000
FILLER_7_39,VGND,li1,26.2200,32.6400,0.000000
FILLER_7_27,VGND,li1,20.7000,32.6400,0.000000
FILLER_7_15,VGND,li1,15.1800,32.6400,0.000000
FILLER_7_3,VGND,li1,9.6600,32.6400,0.000000
FILLER_6_61,VGND,li1,33.8100,27.2000,0.000001
FILLER_6_53,VGND,li1,31.7400,27.2000,0.000001
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000001
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000001
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000001
FILLER_6_14,VGND,li1,14.7200,27.2000,0.000002
FILLER_6_7,VGND,li1,9.6600,27.2000,0.000002
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000001
FILLER_5_50,VGND,li1,29.9000,27.2000,0.000001
