Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_61,VPWR,li1,33.8100,35.3600,1.800000
FILLER_9_57,VPWR,li1,32.6600,35.3600,1.800000
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.800000
FILLER_9_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_9_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.800000
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.800000
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.800000
FILLER_8_61,VPWR,li1,33.8100,35.3600,1.800000
FILLER_8_53,VPWR,li1,31.7400,35.3600,1.800000
FILLER_8_41,VPWR,li1,27.1400,35.3600,1.800000
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.800000
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.800000
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.800000
FILLER_7_61,VPWR,li1,33.8100,29.9200,1.800000
FILLER_7_57,VPWR,li1,32.6600,29.9200,1.800000
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.800000
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.800000
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.800000
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.800000
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_6_61,VPWR,li1,33.8100,29.9200,1.800000
FILLER_6_53,VPWR,li1,31.7400,29.9200,1.800000
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.800000
FILLER_6_14,VPWR,li1,14.7200,29.9200,1.800000
FILLER_6_7,VPWR,li1,9.6600,29.9200,1.800000
FILLER_5_57,VPWR,li1,31.9700,24.4800,1.799986
FILLER_5_50,VPWR,li1,29.9000,24.4800,1.799986
FILLER_5_38,VPWR,li1,25.7600,24.4800,1.799986
FILLER_5_27,VPWR,li1,18.6300,24.4800,1.799986
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.799981
FILLER_4_61,VPWR,li1,33.8100,24.4800,1.799986
FILLER_4_49,VPWR,li1,30.8200,24.4800,1.799986
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799986
FILLER_4_23,VPWR,li1,17.0200,24.4800,1.799985
FILLER_3_61,VPWR,li1,33.8100,19.0400,1.799896
FILLER_3_57,VPWR,li1,32.6600,19.0400,1.799896
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799876
FILLER_2_61,VPWR,li1,33.8100,19.0400,1.799896
FILLER_2_55,VPWR,li1,32.2000,19.0400,1.799896
FILLER_2_43,VPWR,li1,28.0600,19.0400,1.799896
FILLER_2_34,VPWR,li1,21.8500,19.0400,1.799913
FILLER_2_26,VPWR,li1,17.9400,19.0400,1.799891
FILLER_1_61,VPWR,li1,33.8100,13.6000,1.799987
FILLER_1_57,VPWR,li1,32.6600,13.6000,1.799987
FILLER_1_3,VPWR,li1,7.3600,13.6000,1.799983
FILLER_0_61,VPWR,li1,33.8100,13.6000,1.799987
FILLER_0_57,VPWR,li1,32.6600,13.6000,1.799987
FILLER_0_54,VPWR,li1,30.8200,13.6000,1.799987
FILLER_0_42,VPWR,li1,27.6000,13.6000,1.799987
FILLER_0_36,VPWR,li1,22.5400,13.6000,1.799987
FILLER_0_23,VPWR,li1,16.3300,13.6000,1.799986
FILLER_0_15,VPWR,li1,14.2600,13.6000,1.799985
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799983
hold4,VPWR,li1,11.0400,19.0400,1.799876
hold3,VPWR,li1,21.1600,24.4800,1.799987
hold2,VPWR,li1,16.1000,24.4800,1.799985
hold1,VPWR,li1,29.4400,13.6000,1.799987
clkbuf_1_1__f_clk,VPWR,li1,26.6800,19.0400,1.799896
clkbuf_1_0__f_clk,VPWR,li1,11.5000,19.0400,1.799876
clkbuf_0_clk,VPWR,li1,17.4800,19.0400,1.799891
output5,VPWR,li1,23.9200,13.6000,1.799987
output4,VPWR,li1,17.4800,13.6000,1.799986
output3,VPWR,li1,33.1200,24.4800,1.799986
output2,VPWR,li1,7.8200,29.9200,1.800000
input1,VPWR,li1,8.7400,24.4800,1.799981
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.800000
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.800000
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.800000
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.800000
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.800000
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799986
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799986
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799896
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799902
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799987
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799987
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799987
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.800000
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.800000
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.800000
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.800000
PHY_EDGE_ROW_5_Left_15,VPWR,li1,6.2100,24.4800,1.799981
PHY_EDGE_ROW_4_Left_14,VPWR,li1,6.2100,24.4800,1.799981
PHY_EDGE_ROW_3_Left_13,VPWR,li1,6.2100,19.0400,1.799876
PHY_EDGE_ROW_2_Left_12,VPWR,li1,6.2100,19.0400,1.799876
PHY_EDGE_ROW_1_Left_11,VPWR,li1,6.2100,13.6000,1.799983
PHY_EDGE_ROW_0_Left_10,VPWR,li1,6.2100,13.6000,1.799983
PHY_EDGE_ROW_9_Right_9,VPWR,li1,34.7300,35.3600,1.800000
PHY_EDGE_ROW_8_Right_8,VPWR,li1,34.7300,35.3600,1.800000
PHY_EDGE_ROW_7_Right_7,VPWR,li1,34.7300,29.9200,1.800000
PHY_EDGE_ROW_6_Right_6,VPWR,li1,34.7300,29.9200,1.800000
PHY_EDGE_ROW_5_Right_5,VPWR,li1,34.7300,24.4800,1.799986
PHY_EDGE_ROW_4_Right_4,VPWR,li1,34.7300,24.4800,1.799986
PHY_EDGE_ROW_3_Right_3,VPWR,li1,34.7300,19.0400,1.799896
PHY_EDGE_ROW_2_Right_2,VPWR,li1,34.7300,19.0400,1.799896
PHY_EDGE_ROW_1_Right_1,VPWR,li1,34.7300,13.6000,1.799987
PHY_EDGE_ROW_0_Right_0,VPWR,li1,34.7300,13.6000,1.799987
_23_,VPWR,li1,23.0000,13.6000,1.799987
_22_,VPWR,li1,12.4200,13.6000,1.799983
_21_,VPWR,li1,23.4600,24.4800,1.799986
_20_,VPWR,li1,11.5000,24.4800,1.799981
_19_,VPWR,li1,24.6100,19.0400,1.799905
_18_,VPWR,li1,16.7900,19.0400,1.799891
_17_,VPWR,li1,23.2300,19.0400,1.799905
_16_,VPWR,li1,20.4700,13.6000,1.799988
_15_,VPWR,li1,17.7100,13.6000,1.799986
_14_,VPWR,li1,20.0100,19.0400,1.799902
_13_,VPWR,li1,8.2800,19.0400,1.799876
_12_,VPWR,li1,11.2700,24.4800,1.799981
_11_,VPWR,li1,11.2700,29.9200,1.800000
_10_,VPWR,li1,13.5700,24.4800,1.799983
