net,length_um
clknet_1_0__leaf_clk,126.98µm
net52,117.28µm
clknet_1_1__leaf_clk,104µm
net56,85.28µm
net50,73.1µm
net49,72.8µm
_128_,69.38µm
_036_,59.26µm
net55,55.94µm
net39,55.7µm
net35,54.26µm
net3,54.06µm
clk,52.05µm
_032_,51.88µm
net34,46.84µm
net9,41.68µm
net65,40.92µm
_078_,39.08µm
_118_,38.77µm
net7,38.66µm
net4,38.6µm
net63,38.415µm
net57,36.84µm
net53,34.44µm
net68,34.32µm
net5,34.3µm
net32,33.44µm
net64,32.69µm
net37,32.32µm
net45,31.96µm
net46,31.5µm
_112_,31.34µm
_037_,30.46µm
_051_,30.16µm
acc\[0\],29.92µm
_104_,29.7µm
_089_,29.38µm
_099_,29.1µm
net51,29µm
net30,28.76µm
net29,28.32µm
net40,28.24µm
net31,27.86µm
net26,27.5µm
net41,27.395µm
_122_,26.58µm
net42,26.395µm
_114_,26.28µm
net6,25.86µm
net18,24.9µm
net48,24.68µm
net8,24.52µm
net43,24.34µm
_111_,24.255µm
net47,24.16µm
_074_,24.12µm
_053_,23.98µm
net66,23.94µm
net38,23.4µm
acc\[7\],23.32µm
acc\[4\],22.92µm
net60,21.85µm
net44,21.8µm
_035_,21.54µm
net19,21.16µm
acc\[6\],21.02µm
net1,20.88µm
_033_,20.78µm
net23,20.4µm
_068_,20µm
_123_,19.82µm
acc\[1\],19.7µm
net61,18.48µm
net2,18.44µm
net22,18.08µm
net54,17.74µm
clknet_0_clk,17.7µm
acc\[3\],17.52µm
net28,17.38µm
net27,17.16µm
net25,16.78µm
_071_,16.59µm
net59,16.155µm
_102_,15.46µm
_041_,15.44µm
acc\[5\],14.865µm
net58,14.8µm
_116_,14.56µm
net20,14.54µm
_094_,14.22µm
net36,13.86µm
net14,13.76µm
state,13.66µm
net10,13.48µm
out_port[4],13.29µm
_060_,13.08µm
_103_,12.12µm
_070_,11.92µm
_125_,11.76µm
net33,11.58µm
_101_,11.56µm
_113_,11.32µm
net24,11.08µm
_072_,10.93µm
_105_,10.74µm
_086_,10.72µm
_034_,10.64µm
out_port[7],10.56µm
_065_,10.44µm
_107_,10.44µm
_054_,10.38µm
_061_,10.36µm
_095_,10.24µm
_043_,10.14µm
_063_,9.98µm
_044_,9.82µm
_042_,9.78µm
_085_,9.7µm
net62,9.68µm
instruction[0],9.64µm
instruction[1],9.64µm
pc[7],9.64µm
_120_,9.2µm
_057_,9.14µm
_066_,9.055µm
net71,9.02µm
_047_,8.9µm
instruction[4],8.85µm
instruction[2],8.72µm
out_port[0],8.5µm
net15,8.4µm
reset,8.15µm
net70,8.08µm
_008_,8.065µm
_062_,8.06µm
net17,7.98µm
net21,7.86µm
_038_,7.52µm
_079_,7.52µm
_080_,7.4µm
net67,7.4µm
instruction[3],7.35µm
_109_,7.32µm
_001_,7.265µm
_064_,7.22µm
_108_,7.12µm
out_port[5],7.11µm
_129_,6.76µm
net12,6.74µm
net83,6.64µm
_098_,6.54µm
net16,6.36µm
instruction[5],6.33µm
_059_,6.26µm
_045_,6.2µm
out_port[6],6.09µm
_124_,5.86µm
_077_,5.84µm
_088_,5.84µm
_024_,5.765µm
out_port[1],5.75µm
pc[0],5.75µm
_081_,5.68µm
net11,5.68µm
instruction[6],5.65µm
net78,5.58µm
pc[2],5.41µm
_117_,5.4µm
instruction[7],5.31µm
_121_,5.22µm
net13,5.1µm
pc[1],5.07µm
pc[4],5.07µm
pc[5],5.07µm
_100_,5.04µm
_014_,4.975µm
_002_,4.965µm
_029_,4.92µm
out_port[3],4.85µm
acc\[2\],4.82µm
_055_,4.8µm
_082_,4.78µm
_027_,4.76µm
out_port[2],4.73µm
_018_,4.675µm
_097_,4.48µm
_031_,4.46µm
_022_,4.445µm
_087_,4.44µm
_026_,4.42µm
pc[3],4.39µm
pc[6],4.39µm
_067_,4.1µm
_127_,4.02µm
_023_,3.965µm
_007_,3.9µm
_019_,3.705µm
_020_,3.625µm
_025_,3.54µm
_030_,3.54µm
_052_,3.54µm
_021_,3.465µm
_084_,3.44µm
_013_,3.415µm
_075_,3.1µm
net75,3.1µm
net76,3.1µm
_046_,3.08µm
_049_,3.08µm
_096_,3.08µm
_005_,2.885µm
_115_,2.86µm
net81,2.76µm
_012_,2.715µm
_017_,2.715µm
_040_,2.64µm
_050_,2.64µm
_048_,2.62µm
net69,2.62µm
_000_,2.605µm
_039_,2.55µm
net79,2.3µm
net80,2.3µm
net84,2.3µm
_004_,2.255µm
_028_,2.18µm
_090_,2.18µm
_083_,2.16µm
_091_,2.16µm
_092_,2.16µm
_110_,2.16µm
_006_,2.085µm
_106_,2.04µm
_119_,1.94µm
net82,1.94µm
_003_,1.865µm
_011_,1.865µm
_058_,1.84µm
net74,1.84µm
_093_,1.73µm
_076_,1.7µm
_010_,1.685µm
_015_,1.685µm
_016_,1.685µm
_009_,1.405µm
net77,1.38µm
_056_,1.14µm
_069_,1.14µm
_073_,0.92µm
_126_,0.8µm
net72,0.46µm
net73,0.46µm
