Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_23_137,VGND,li1,69.0000,76.1600,0.000000
FILLER_23_125,VGND,li1,65.7800,76.1600,0.000000
FILLER_23_113,VGND,li1,60.2600,76.1600,0.000000
FILLER_23_105,VGND,li1,54.5100,76.1600,0.000000
FILLER_23_97,VGND,li1,51.9800,76.1600,0.000000
FILLER_23_85,VGND,li1,47.3800,76.1600,0.000000
FILLER_23_81,VGND,li1,43.4700,76.1600,0.000000
FILLER_23_69,VGND,li1,40.0200,76.1600,0.000000
FILLER_23_57,VGND,li1,34.5000,76.1600,0.000000
FILLER_23_54,VGND,li1,30.8200,76.1600,0.000000
FILLER_23_42,VGND,li1,27.6000,76.1600,0.000000
FILLER_23_37,VGND,li1,22.7700,76.1600,0.000000
FILLER_23_29,VGND,li1,20.7000,76.1600,0.000000
FILLER_23_27,VGND,li1,18.1700,76.1600,0.000000
FILLER_23_15,VGND,li1,15.1800,76.1600,0.000000
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000000
FILLER_22_138,VGND,li1,69.2300,70.7200,0.000031
FILLER_22_126,VGND,li1,66.2400,70.7200,0.000031
FILLER_22_114,VGND,li1,60.7200,70.7200,0.000031
FILLER_22_85,VGND,li1,47.3800,70.7200,0.000029
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000028
FILLER_22_75,VGND,li1,41.8600,70.7200,0.000027
FILLER_22_67,VGND,li1,36.5700,70.7200,0.000024
FILLER_22_56,VGND,li1,33.1200,70.7200,0.000023
FILLER_22_41,VGND,li1,27.1400,70.7200,0.000020
FILLER_22_29,VGND,li1,21.6200,70.7200,0.000021
FILLER_22_26,VGND,li1,17.9400,70.7200,0.000022
FILLER_22_3,VGND,li1,8.7400,70.7200,0.000024
FILLER_21_133,VGND,li1,67.1600,70.7200,0.000031
FILLER_21_125,VGND,li1,64.8600,70.7200,0.000031
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000031
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000031
FILLER_21_85,VGND,li1,44.8500,70.7200,0.000028
FILLER_21_23,VGND,li1,16.3300,70.7200,0.000023
FILLER_20_138,VGND,li1,69.2300,65.2800,0.000028
FILLER_20_134,VGND,li1,68.0800,65.2800,0.000028
FILLER_20_111,VGND,li1,57.0400,65.2800,0.000025
FILLER_20_85,VGND,li1,45.0800,65.2800,0.000020
FILLER_20_57,VGND,li1,31.9700,65.2800,0.000014
FILLER_20_45,VGND,li1,26.9100,65.2800,0.000011
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000013
FILLER_20_20,VGND,li1,15.4100,65.2800,0.000014
FILLER_20_3,VGND,li1,9.6600,65.2800,0.000015
FILLER_19_137,VGND,li1,69.0000,65.2800,0.000028
FILLER_19_128,VGND,li1,64.6300,65.2800,0.000028
FILLER_19_113,VGND,li1,58.8800,65.2800,0.000026
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000025
FILLER_19_97,VGND,li1,52.9000,65.2800,0.000024
FILLER_19_88,VGND,li1,46.6900,65.2800,0.000021
FILLER_19_76,VGND,li1,43.2400,65.2800,0.000020
FILLER_19_69,VGND,li1,37.7200,65.2800,0.000017
FILLER_19_62,VGND,li1,34.5000,65.2800,0.000015
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000014
FILLER_19_47,VGND,li1,28.9800,65.2800,0.000013
FILLER_19_35,VGND,li1,24.3800,65.2800,0.000010
FILLER_19_24,VGND,li1,18.4000,65.2800,0.000013
FILLER_18_133,VGND,li1,68.0800,59.8400,0.000009
FILLER_18_121,VGND,li1,63.9400,59.8400,0.000009
FILLER_18_109,VGND,li1,58.4200,59.8400,0.000009
FILLER_18_97,VGND,li1,52.9000,59.8400,0.000009
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000009
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000009
FILLER_18_79,VGND,li1,42.7800,59.8400,0.000009
FILLER_18_67,VGND,li1,39.1000,59.8400,0.000009
FILLER_18_63,VGND,li1,34.7300,59.8400,0.000009
FILLER_18_51,VGND,li1,31.7400,59.8400,0.000008
FILLER_18_39,VGND,li1,26.2200,59.8400,0.000007
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000008
FILLER_18_3,VGND,li1,8.2800,59.8400,0.000008
FILLER_17_133,VGND,li1,67.1600,59.8400,0.000009
FILLER_17_125,VGND,li1,64.8600,59.8400,0.000009
FILLER_17_113,VGND,li1,60.2600,59.8400,0.000009
FILLER_17_100,VGND,li1,54.2800,59.8400,0.000009
FILLER_17_88,VGND,li1,48.7600,59.8400,0.000009
FILLER_17_76,VGND,li1,43.2400,59.8400,0.000009
